,Cuisine,Restaurants_Serving
0,North Indian,19815
1,Chinese,14676
2,South Indian,8047
3,Fast Food,7596
4,Biryani,6110
5,Continental,5440
6,Desserts,5350
7,Cafe,5065
8,Beverages,4447
9,Italian,3251
10,Bakery,2721
11,Street Food,2486
12,Pizza,1958
13,Burger,1948
14,Seafood,1711
15,Ice Cream,1682
16,Andhra,1675
17,Mughlai,1480
18,American,1434
19,Rolls,1387
20,Kerala,1378
21,Asian,1237
22,Momos,1216
23,Finger Food,1140
24,Salad,1118
25,Juices,1085
26,Arabian,1020
27,Mithai,999
28,Kebab,991
29,Thai,974
30,Healthy Food,866
31,Sandwich,829
32,BBQ,710
33,European,702
34,Mangalorean,668
35,Steak,559
36,Bengali,558
37,Mediterranean,550
38,Mexican,496
39,Tea,372
40,Japanese,343
41,Tibetan,334
42,Hyderabadi,310
43,Chettinad,202
44,Rajasthani,182
45,Lebanese,171
46,Vietnamese,166
47,Modern Indian,147
48,Korean,140
49,Maharashtrian,136
50,Oriya,135
51,Coffee,126
52,Goan,113
53,Malaysian,106
54,Middle Eastern,102
55,Gujarati,102
56,Indonesian,96
57,French,87
58,Bihari,87
59,Konkan,81
60,Turkish,80
61,Nepalese,78
62,Charcoal Chicken,72
63,Afghan,64
64,Burmese,55
65,Lucknowi,53
66,Tex-Mex,51
67,Wraps,50
68,Singaporean,47
69,Spanish,46
70,North Eastern,44
71,Sushi,44
72,Greek,38
73,Kashmiri,33
74,Awadhi,29
75,Iranian,29
76,Assamese,26
77,Naga,25
78,Grill,24
79,Parsi,23
80,Bar Food,23
81,Roast Chicken,21
82,South American,20
83,African,17
84,Sri Lankan,15
85,Mongolian,12
86,Paan,12
87,Portuguese,11
88,Bubble Tea,10
89,Drinks Only,10
90,Afghani,8
91,British,7
92,German,7
93,Russian,6
94,Tamil,6
95,Cantonese,6
96,Vegan,6
97,Bohri,6
98,Jewish,6
99,Australian,5
100,Raw Meats,4
101,Belgian,4
102,Sindhi,4
103,Hot dogs,3
104,Malwani,2
105,Pan Asian,1
